GEOID,HubName,HubDist
53063010603,358665780,52370.55810757503
53063013002,358665780,29419.159365688673
53063010702,358665780,49614.55248579801
53063011204,358665780,44214.04531013777
53063000302,358665780,44437.7941137543
53063013001,358665780,29998.21263455882
53071920200,358665780,215782.4442510428
53071920500,358665780,215774.99090800842
53071920000,358665780,204120.05591624693
53071920600,358665780,217845.40211194922
53071920702,358665780,216305.6768498972
53033024905,3518714008,13253.181404151439
53071920100,358665780,210872.76839157793
53071920400,358665780,216044.91770028812
53033005304,53184121,5070.523093017396
53033032221,3518714008,18653.450461459608
53033032223,3518714008,14762.446566853087
53033005901,13361539355,1790.3722322298538
53033024904,3518714008,14190.793188903337
53033030407,12097192054,12618.710920823565
53033024704,11035186711,11999.84881684996
53033025103,3518714008,19955.836637492794
53033025303,11035186711,15520.038091132154
53033025402,11035186711,16156.698301532033
53033030203,12097192054,11190.604654748813
53033029805,12097192054,15868.436835560497
53033032220,3518714008,16461.210637175227
53033032605,3518714008,23516.974262391832
53033030102,12097192054,12262.279894191846
53033027902,356551783,7741.460711276818
53033005401,53184121,4264.843579654501
53033029505,356551783,20857.362346672715
53033010102,11035186711,5714.367372367255
53033021701,635748207,9716.271093467689
53033022204,3518714008,8708.635834463177
53033008003,53184118,1988.3050107959052
53033029508,356551783,22397.252990207064
53033025008,3518714008,12237.862322658499
53033000602,635748207,393.6599922970975
53033031913,3518714008,22470.12459873294
53033007001,53184118,3356.107875404903
53033030101,12097192054,10509.61630914653
53033029603,356551783,23304.272747168736
53033024703,3518714008,16692.367181252896
53033026003,356551783,11585.708861218809
53033004102,11004965702,7935.214971178175
53033030008,12097192054,14569.273225278665
53033010302,11035186711,5824.55873710847
53033009802,356551783,3859.4575312835464
53033032332,3518714008,6850.786271466063
53033003601,11609050926,4465.873377007863
53033010101,11035186711,4837.15864989675
53033004703,13361539355,693.579233359632
53033022805,3518714008,3346.529182824389
53011040301,2631801052,33300.1599545008
53033005303,53184121,5032.041047823169
53033007301,53184118,1464.4941191482058
53033008401,53184121,192.00735878181828
53069950100,6403036421,31619.888928545042
53053073126,13071427976,20415.95421984488
53033009200,11035186694,807.4011604491216
53033009300,11035186694,2998.1090756566136
53035080600,13361539355,22496.683443075606
53035091302,13361539355,27250.86191820281
53033011200,356551783,3182.191241762352
53033011300,356551783,1826.4328055439798
53033012100,356551783,3450.6568866189596
53033020100,635748207,7235.503669866184
53011041328,2631801052,16518.325821680897
53011040610,2631801052,20479.69087146099
53011040609,2631801052,18591.09797649179
53011040409,2631801052,21996.974980553983
53011040411,2631801052,19407.424429830073
53011040510,2631801052,29019.844722508882
53047970900,6388426551,63673.65568537513
53047970700,6388426551,101452.41886384107
53047970400,6388426551,67676.49582988828
53047970500,6388426551,79693.3806056267
53035092000,13361539355,37461.981025657515
53035090101,13361539355,25789.43461472768
53035080200,13361539355,19716.92402172551
53035091100,13361539355,18853.73926316389
53053940011,12097192054,4831.170701861609
53033032010,3518714008,33629.41727228584
53033022703,3518714008,3935.482923364528
53033020200,635748207,6584.133298005084
53033020401,635748207,6333.345421000196
53033022802,3518714008,1184.786752988884
53033022803,3518714008,3267.6339617565213
53033022901,3518714008,4156.850865943107
53033022300,635748207,6413.41604341896
53033022603,3518714008,4086.215880682313
53033022604,3518714008,3387.44970130856
53033022605,3518714008,2844.2426633332657
53033022606,3518714008,1949.847223682395
53033022701,3518714008,6153.9003330267515
53033032222,3518714008,14994.669930341057
53033031710,356551783,27192.450011525936
53033011802,11035186711,10615.978887140738
53033007002,53184118,3048.5649799206926
53033000601,635748207,1066.3366641562689
53033032705,3518714008,33079.74824935658
53033024001,3518714008,6977.57295258742
53033004701,13361539355,259.63733738800516
53033031708,356551783,24988.01172183249
53033023806,3518714008,7668.740161835032
53033021702,635748207,9170.563785266091
53033032330,3518714008,1971.2210737978644
53033031911,3518714008,25228.62153664487
53033031207,356551783,27141.31932572985
53033025202,3518714008,18270.62906472326
53033031707,356551783,23734.519902936543
53033032333,3518714008,8246.182857827846
53077000500,3518714008,169008.0642883649
53077000600,3518714008,169959.69453763857
53077000700,3518714008,171401.3129930202
53077000800,3518714008,169294.83795168484
53077000100,3518714008,171133.66021565525
53053061900,13071427976,2170.1711135810388
53053073115,13071427976,24057.43761847487
53053073116,13071427976,25790.32701067884
53053073301,13071427976,16025.751029282776
53053073302,13071427976,16902.155225513266
53033003500,13361539355,2172.5679090712124
53033004000,11609050926,7693.792980261281
53033003400,13361539355,1571.8032316126255
53033004500,11609050926,5202.426946009064
53033004800,13361539355,1614.7997908662624
53005010300,358665780,247563.08635751533
53005011501,358665780,241822.94287471037
53005010201,358665780,245361.0872856756
53005012000,6388426551,302672.3394006715
53005011600,3518714008,273996.4296682783
53005010100,358665780,242264.77554066162
53005010901,358665780,245790.86839117933
53005011001,358665780,243573.43101141424
53005011300,358665780,241720.96110847438
53005011100,358665780,244613.0076523715
53033008200,53184118,519.2964586177113
53033008300,53184118,350.4826189937604
53033008500,53070522,67.50582893172442
53033008700,11004965702,1110.4332668924544
53033008800,11004965702,1799.3211451992286
53033008900,11035186711,3035.1014978797043
53033009000,11035186711,1200.6325765102192
53033009100,11035186694,531.5889439966253
53033004600,11609050926,4479.486416647787
53033005000,13361539355,2929.1477321947873
53033005700,13361539355,2673.9809496238813
53033032328,3518714008,6312.406141691108
53033006400,53184121,2356.959195342562
53033006100,53184121,3791.5156730557574
53033006200,53184121,3504.669668144413
